DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1098,Lovastatin,DDInter1377,Paclitaxel,Moderate
DDInter1291,Nifedipine,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1479,Pitavastatin,Moderate
DDInter1509,Pravastatin,DDInter1377,Paclitaxel,Moderate
DDInter1556,Quinidine,DDInter1377,Paclitaxel,Moderate
DDInter1622,Rosuvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1675,Simvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1707,Spironolactone,DDInter1377,Paclitaxel,Moderate
DDInter1928,Verapamil,DDInter1377,Paclitaxel,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter991,Isotretinoin,DDInter718,Fenofibrate,Moderate
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1085,Lomitapide,Major
DDInter991,Isotretinoin,DDInter1228,Mipomersen,Major
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter722,Fentanyl,DDInter12,Acebutolol,Moderate
DDInter68,Amiloride,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter76,Amiodarone,Major
DDInter79,Amlodipine,DDInter722,Fentanyl,Moderate
DDInter130,Atenolol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter156,Azilsartan medoxomil,Moderate
DDInter179,Bendroflumethiazide,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter192,Bepridil,Moderate
DDInter197,Betaxolol,DDInter722,Fentanyl,Moderate
DDInter216,Bisoprolol,DDInter722,Fentanyl,Moderate
DDInter223,Bosentan,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter248,Bumetanide,Moderate
DDInter722,Fentanyl,DDInter292,Captopril,Moderate
DDInter722,Fentanyl,DDInter305,Carvedilol,Moderate
DDInter722,Fentanyl,DDInter360,Chlorothiazide,Moderate
DDInter365,Chlorthalidone,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter396,Clevidipine,Moderate
DDInter412,Clonidine,DDInter722,Fentanyl,Minor
DDInter722,Fentanyl,DDInter438,Conivaptan,Major
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter722,Fentanyl,DDInter535,Diazoxide,Moderate
DDInter561,Diltiazem,DDInter722,Fentanyl,Major
DDInter592,Doxazosin,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter602,Dronedarone,Major
DDInter638,Enalapril,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter658,Eprosartan,Moderate
DDInter675,Esmolol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter716,Felodipine,Moderate
DDInter781,Fosinopril,DDInter722,Fentanyl,Moderate
DDInter790,Furosemide,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter846,Guanethidine,Moderate
DDInter722,Fentanyl,DDInter847,Guanfacine,Moderate
DDInter722,Fentanyl,DDInter882,Hydralazine,Moderate
DDInter722,Fentanyl,DDInter883,Hydrochlorothiazide,Moderate
DDInter889,Hydroflumethiazide,DDInter722,Fentanyl,Moderate
DDInter916,Indapamide,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter972,Irbesartan,Moderate
DDInter722,Fentanyl,DDInter989,Isosorbide dinitrate,Moderate
DDInter722,Fentanyl,DDInter990,Isosorbide mononitrate,Moderate
DDInter993,Isradipine,DDInter722,Fentanyl,Moderate
DDInter1013,Labetalol,DDInter722,Fentanyl,Moderate
DDInter1079,Lisinopril,DDInter722,Fentanyl,Moderate
DDInter1095,Losartan,DDInter722,Fentanyl,Moderate
DDInter1199,Metolazone,DDInter722,Fentanyl,Moderate
DDInter1205,Metyrosine,DDInter722,Fentanyl,Moderate
DDInter1226,Minoxidil,DDInter722,Fentanyl,Moderate
DDInter1237,Moexipril,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1255,Nadolol,Moderate
DDInter722,Fentanyl,DDInter1271,Nebivolol,Moderate
DDInter1287,Nicardipine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1291,Nifedipine,Moderate
DDInter1295,Nimodipine,DDInter722,Fentanyl,Moderate
DDInter1298,Nisoldipine,DDInter722,Fentanyl,Moderate
DDInter1304,Nitroglycerin,DDInter722,Fentanyl,Moderate
DDInter1305,Nitroprusside,DDInter722,Fentanyl,Moderate
DDInter1330,Olmesartan,DDInter722,Fentanyl,Moderate
DDInter1431,Perindopril,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1444,Phenoxybenzamine,Moderate
DDInter1448,Phentolamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1471,Pindolol,Moderate
DDInter722,Fentanyl,DDInter1490,Polythiazide,Moderate
DDInter1511,Prazosin,DDInter722,Fentanyl,Moderate
DDInter1539,Propranolol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1554,Quinapril,Moderate
DDInter1565,Ramipril,DDInter722,Fentanyl,Moderate
DDInter1570,Ranolazine,DDInter722,Fentanyl,Moderate
DDInter1704,Sotalol,DDInter722,Fentanyl,Moderate
DDInter1707,Spironolactone,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1759,Telmisartan,Moderate
DDInter1809,Timolol,DDInter722,Fentanyl,Moderate
DDInter1836,Torasemide,DDInter722,Fentanyl,Moderate
DDInter1843,Trandolapril,DDInter722,Fentanyl,Moderate
DDInter1859,Triamterene,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1872,Trimethaphan,Moderate
DDInter1915,Valsartan,DDInter722,Fentanyl,Moderate
DDInter1928,Verapamil,DDInter722,Fentanyl,Major
DDInter76,Amiodarone,DDInter9,Acalabrutinib,Moderate
DDInter79,Amlodipine,DDInter9,Acalabrutinib,Moderate
DDInter20,Acetylsalicylic acid,DDInter9,Acalabrutinib,Major
