entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0069,Diphenhydramine,Diphenhydramine,diphenhydramine hydrochloride,antihistamine_systemic,cyp2d6_substrate|h1_receptor_antagonist|anticholinergic_systemic,CYP2D6,,low,False,systemic,unspecified_systemic,3498,,DrugBank DB01075,source_partial
sys_med_0070,Fentanyl,Fentanyl,fentanyl,opioid,cns_depressant|cyp3a4_substrate|mu_opioid_receptor_agonist,CYP3A4,,medium,False,systemic,unspecified_systemic,4337,,DrugBank DB00813,source_partial
sys_med_0071,Morphine,Morphine,morphine sulfate,opioid,cns_depressant|mu_opioid_receptor_agonist|ugt2b7_substrate,,,medium,False,systemic,unspecified_systemic,7052,,DrugBank DB00295,source_partial
sys_med_0072,Oxycodone,Oxycodone,oxycodone hydrochloride,opioid,cns_depressant|cyp2d6_substrate|cyp3a4_substrate|mu_opioid_receptor_agonist,CYP2D6|CYP3A4,,medium,False,systemic,unspecified_systemic,7804,,DrugBank DB00497,source_partial
sys_med_0073,Colchicine,Colchicine,colchicine,anti_gout,cyp3a4_substrate|p_gp_substrate|tubulin_inhibitor,CYP3A4,P-glycoprotein,high,False,systemic,unspecified_systemic,2683,,DrugBank DB01394,source_partial
sys_med_0074,Allopurinol,Allopurinol,allopurinol,anti_gout,xanthine_oxidase_inhibitor,,,low,False,systemic,unspecified_systemic,519,,DrugBank DB00437,source_partial
sys_med_0075,Lithium,Lithium,lithium carbonate,mood_stabilizer,inositol_monophosphatase_inhibitor|narrow_therapeutic_index,,,high,True,systemic,unspecified_systemic,6448,,DrugBank DB01356,source_partial
sys_med_0076,Metronidazole,Metronidazole,metronidazole,antibiotic_nitroimidazole,dna_damaging,,,low,False,systemic,unspecified_systemic,6922,,DrugBank DB00916,source_partial
sys_med_0077,Vancomycin,Vancomycin,vancomycin hydrochloride,antibiotic_glycopeptide,cell_wall_synthesis_inhibitor|narrow_therapeutic_index,,,high,True,systemic,unspecified_systemic,11124,,DrugBank DB00512,source_partial
sys_med_0078,Doxycycline,Doxycycline,doxycycline hyclate,antibiotic_tetracycline,30S_inhibitor,,,low,False,systemic,unspecified_systemic,3640,,DrugBank DB00254,source_partial
sys_med_0079,Sildenafil,Sildenafil,sildenafil citrate,pde5_inhibitor,cyp3a4_substrate|pde5_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,136411,,DrugBank DB00203,source_partial
sys_med_0080,Acetaminophen,Acetaminophen,paracetamol|APAP,analgesic_antipyretic,cox_inhibitor_central|cyp1a2_substrate|cyp2e1_substrate|cyp3a4_substrate,CYP1A2|CYP2E1|CYP3A4,,medium,False,systemic,unspecified_systemic,161,,DrugBank DB00316,source_partial
sys_med_0081,Levetiracetam,Levetiracetam,levetiracetam,antiepileptic,sv2a_modulator,,,low,False,systemic,unspecified_systemic,114477,,DrugBank DB01202,source_partial
sys_med_0082,Lamotrigine,Lamotrigine,lamotrigine,antiepileptic,na_channel_blocker,,,low,False,systemic,unspecified_systemic,28439,,DrugBank DB00555,source_partial
